id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,city,country,state,zip
6969108,https://www.boattrader.com/listing/2017-skeeter-225-zx-103496188/,power,power-bass,Skeeter,225 Zx,2017,used,22,8.5,,2019-01-25T13:31:39.000Z,fiberglass,gasoline,0,,,,,La Follette,US,TN,37766
6802444,https://www.boattrader.com/listing/1996-azimut-78-ultra-motoryacht-103391782/,power,power-motor,Azimut,78 Ultra Motoryacht,1996,used,78,19.42,,2018-08-08T12:26:45.000Z,fiberglass,diesel,2,0,,,,Miami Beach,US,FL,33109
6969253,https://www.boattrader.com/listing/2018-sea-doo-gti-se-103496293/,power,power-pwc,Sea-Doo,GTI SE,2018,new,11,4,640,2019-01-25T15:04:38.000Z,fiberglass,gasoline,1,0,,,inboard,Goldsboro,US,NC,27534
6773527,https://www.boattrader.com/listing/2018-sea-doo-gti-se-103361430/,power,power-pwc,Sea-Doo,GTI SE,2018,new,11.05,1.08,640,2018-07-12T14:59:06.000Z,fiberglass,gasoline,1,0,,,inboard,Goldsboro,US,NC,27534
6584479,https://www.boattrader.com/listing/2019-suncatcher-v322-rf-103228121/,power,power-pontoon,SunCatcher,V322 RF,2019,new,22.5,,,2018-01-16T15:21:37.000Z,aluminum,gasoline,1,225,,,outboard,Kingston,US,OK,73439
6750966,https://www.boattrader.com/listing/2018-yamaha-waverunner-vx-deluxe-103345013/,power,power-pwc,Yamaha WaveRunner,VX Deluxe,2018,new,11,4,663,2018-06-19T12:43:33.000Z,fiberglass,gasoline,1,0,,,inboard,Goldsboro,US,NC,27534
6203681,https://www.boattrader.com/listing/2017-smoker-craft-14-voyager-103035871/,power,power-aluminum,Smoker Craft,14 Voyager,2017,new,14,4.92,130,2017-04-13T09:29:32.000Z,aluminum,gasoline,1,0,,,outboard,East Wenatchee,US,WA,98802
6799619,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-18-dlx-103380874/,power,power-pontoon,Sun Tracker,Party Barge 18 DLX,2019,new,20,8.17,1495,2018-08-07T12:16:02.000Z,aluminum,,1,60,,,outboard,Hoffman Estates,US,IL,60192
6835707,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-22-xp3-103408649/,power,power-pontoon,Sun Tracker,Party Barge 22 XP3,2019,new,24.17,8.5,2885,2018-09-07T12:16:00.000Z,aluminum,,1,150,,,outboard,Hoffman Estates,US,IL,60192
6969519,https://www.boattrader.com/listing/2019-manitou-25-encore-rf-shp-103496461/,power,power-pontoon,Manitou,25 Encore RF SHP,2019,new,25,8.5,3885,2019-01-26T09:30:45.000Z,aluminum,gasoline,1,300,2019,2019,outboard-4s,Counce,US,TN,38326
6960417,https://www.boattrader.com/listing/2019-nitro-z19-103489890/,power,power-bass,Nitro,Z19,2019,new,19.33,7.83,1850,2019-01-18T08:11:36.000Z,fiberglass,gasoline,1,200,,,outboard,Noblesville,US,IN,46060
6969591,https://www.boattrader.com/listing/2019-tracker-grizzly-1654-t-sportsman-103496525/,power,power-jon,Tracker,Grizzly 1654 T Sportsman,2019,new,17.33,6.5,744,2019-01-26T12:17:10.000Z,aluminum,,1,25,,,outboard-4s,Tallahassee,US,FL,32317
6969592,https://www.boattrader.com/listing/2019-tracker-grizzly-1648-sc-103496513/,power,power-jon,Tracker,Grizzly 1648 SC,2019,new,16.08,6,715,2019-01-26T12:17:10.000Z,aluminum,,1,40,,,outboard,Independence,US,MO,64055
