id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,country,state
7123411,https://www.boattrader.com/listing/2019-bennington-s-25ssr-103608061/,power,power-pontoon,Bennington,S 25SSR,2019,new,24.04,8.06,,2019-06-21T11:03:57.000Z,aluminum,gasoline,1,0,,,outboard,71709,52808,US,TX
7229011,https://www.boattrader.com/listing/2011-tracker-pro-v-guide-16-103684192/,power,power-other,Tracker,Pro V Guide 16,2011,used,16,,,2019-09-24T16:52:34.000Z,fiberglass,gasoline,1,0,,,,12995,45000,US,TX
7135549,https://www.boattrader.com/listing/2003-monterey-180-fs-103616453/,power,power-bowrider,Monterey,180 Fs,2003,used,18,7.08,,2019-07-02T11:27:25.000Z,fiberglass,gasoline,1,0,,,,7998,61725,US,AL
7204504,https://www.boattrader.com/listing/2019-yamaha-boats-fx-svho-103667330/,power,power-pwc,Yamaha Boats,FX SVHO,2019,new,11.67,,,2019-09-04T07:04:43.000Z,fiberglass,gasoline,1,0,,,,13980,31870,US,OH
7123432,https://www.boattrader.com/listing/2014-regal-27-fasdeck-103608102/,power,power-bowrider,Regal,27 Fasdeck,2014,used,27.03,8.06,,2019-06-21T11:03:58.000Z,fiberglass,gasoline,1,0,,,,64995,52808,US,TX
7255252,https://www.boattrader.com/listing/2015-nauticstar-nautic-bay-2200-sport-103703387/,power,power-center,NauticStar,NAUTIC BAY 2200 SPORT,2015,used,22,8.06,,2019-10-18T09:15:46.000Z,fiberglass,gasoline,1,0,,,outboard,39995,45004,US,TX
7203712,https://www.boattrader.com/listing/2008-monterey-214fs-103666771/,power,power-bowrider,Monterey,214FS,2008,used,22.09,8.05,,2019-09-03T14:46:48.000Z,fiberglass,gasoline,1,0,,,,17995,45000,US,TX
7250944,https://www.boattrader.com/listing/2013-cobalt-24-sd-103700720/,power,power-bowrider,Cobalt,24 SD,2013,used,25,8.06,,2019-10-15T09:21:06.000Z,fiberglass,gasoline,1,0,,,,54900,34349,US,SC
7238086,https://www.boattrader.com/listing/2002-cobalt-240-103692050/,power,power-bowrider,Cobalt,240,2002,used,24,8.06,,2019-10-02T16:58:10.000Z,fiberglass,gasoline,1,0,,,,29998,61725,US,AL
7208167,https://www.boattrader.com/listing/1996-fisher-sv17fs-103669544/,power,power-other,Fisher,SV17FS,1996,used,17,,,2019-09-06T17:23:21.000Z,fiberglass,gasoline,1,0,,,,3495,31870,US,OH
7224202,https://www.boattrader.com/listing/2018-regal-bowrider-2800-103681041/,power,power-bowrider,Regal,Bowrider 2800,2018,used,28.04,9,,2019-09-19T16:52:32.000Z,fiberglass,gasoline,1,0,,,,124995,52808,US,TX
7092339,https://www.boattrader.com/listing/2020-nauticstar-2102-legacy-103641711/,power,power-sportfish,NauticStar,2102 Legacy,2020,new,21,,,2019-05-23T13:14:00.000Z,fiberglass,gasoline,1,0,,,outboard,,21306,US,SC
7136098,https://www.boattrader.com/listing/2019-bennington-s-21ssr-103617023/,power,power-pontoon,Bennington,S 21SSR,2019,new,20.04,8.06,,2019-07-02T11:36:57.000Z,aluminum,gasoline,1,0,,,outboard,39580,31870,US,OH
7134894,https://www.boattrader.com/listing/2019-bennington-g-23gsb-103615910/,power,power-pontoon,Bennington,G 23GSB,2019,new,25.9,8.6,,2019-07-02T09:38:10.000Z,aluminum,gasoline,1,0,,,outboard,72980,31870,US,OH
7264726,https://www.boattrader.com/listing/2018-azimut-60-flybridge-103710988/,power,power-motor,Azimut,60 Flybridge,2018,used,60,,,2019-10-28T08:48:02.000Z,fiberglass,diesel,2,1800,,,inboard,1899999,44177,US,FL
7213474,https://www.boattrader.com/listing/2013-nitro-z-7-103673480/,power,power-bass,Nitro,Z-7,2013,used,19,7.06,,2019-09-10T17:18:37.000Z,fiberglass,gasoline,1,0,,,outboard,19995,10106,US,TX
7134888,https://www.boattrader.com/listing/2019-bennington-s-23ssr-103615912/,power,power-pontoon,Bennington,S 23SSR,2019,new,23.11,8.6,,2019-07-02T09:38:10.000Z,aluminum,gasoline,1,0,,,outboard,56980,31870,US,OH
7250916,https://www.boattrader.com/listing/2013-carolina-skiff-198-dlv-103700713/,power,power-center,Carolina Skiff,198 DLV,2013,used,19,8,,2019-10-15T09:10:05.000Z,fiberglass,gasoline,1,0,,,outboard,18995,45000,US,TX
7253143,https://www.boattrader.com/listing/2018-moomba-mojo-103701974/,power,power-other,Moomba,Mojo,2018,used,23,8.04,,2019-10-16T17:18:55.000Z,fiberglass,gasoline,1,0,,,v-drive,69995,52808,US,TX
7123318,https://www.boattrader.com/listing/2019-yamaha-jet-boat-sx-210-103607961/,power,power-jet,Yamaha Jet Boat,SX 210,2019,new,19.02,8,,2019-06-21T11:03:55.000Z,fiberglass,gasoline,1,0,,,,45899,52808,US,TX
7201744,https://www.boattrader.com/listing/2014-bennington-q-25qcw-103664131/,power,power-pontoon,Bennington,Q 25QCW,2014,used,25,8.06,,2019-08-31T17:15:58.000Z,aluminum,gasoline,1,0,,,outboard,59999,34349,US,SC
