id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,city,country,state,zip
7201160,https://www.boattrader.com/listing/2020-alumacraft-pro-103663749/,power,power-fresh,Alumacraft,Pro,2020,new,18,,,2019-08-30T23:12:53.000Z,other,other,1,Kingston,US,OK,73439
7193755,https://www.boattrader.com/listing/2019-suncatcher-x-series-103658207/,power,power-pontoon,SunCatcher,X Series,2019,new,24,,,2019-08-23T13:28:18.000Z,other,other,1,Kingston,US,OK,73439
7193655,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658153/,power,power-pontoon,SunCatcher,V Series,2019,new,22,,,2019-08-23T13:28:05.000Z,other,other,1,Kingston,US,OK,73439
7194083,https://www.boattrader.com/listing/2019-blazer-2400-103658500/,power,power-bay,Blazer,2400,2019,new,24,,,2019-08-23T23:07:50.000Z,other,other,1,Kingston,US,OK,73439
7194105,https://www.boattrader.com/listing/2019-yamaha-boats-ar-103658511/,power,power-bowrider,Yamaha Boats,AR,2019,new,21,,,2019-08-23T23:08:06.000Z,other,other,1,Kingston,US,OK,73439
7194095,https://www.boattrader.com/listing/2019-seaark-easy-series-103658488/,power,power-fresh,SeaArk,Easy Series,2019,new,20,,,2019-08-23T23:07:52.000Z,other,other,1,Kingston,US,OK,73439
7165067,https://www.boattrader.com/listing/2019-yamaha-boats-vx-cruiser-ho-103636792/,power,power-pwc,Yamaha Boats,VX CRUISER HO,2019,used,132,,,2019-07-30T23:28:59.000Z,other,other,1,Rochester,US,MN,55901
7193609,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658098/,power,power-pontoon,SunCatcher,V Series,2019,new,22,,,2019-08-23T13:28:00.000Z,other,other,1,Kingston,US,OK,73439
7193670,https://www.boattrader.com/listing/2019-suncatcher-x-series-103658140/,power,power-pontoon,SunCatcher,X Series,2019,new,22,,,2019-08-23T13:28:07.000Z,other,other,1,Kingston,US,OK,73439
7193780,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658264/,power,power-pontoon,SunCatcher,V Series,2020,new,22,,,2019-08-23T13:28:23.000Z,other,other,1,Kingston,US,OK,73439
7194128,https://www.boattrader.com/listing/2018-g3-sportsman-19-camo-103658520/,power,power-other,G3,Sportsman 19 Camo,2018,new,19,,,2019-08-23T23:08:19.000Z,other,other,1,Kingston,US,OK,73439
